"x","y","r"
"PFNA","PFNA",1
"PFOS","PFNA",0.711331846750273
"PFOA","PFNA",0.727391562688274
"PFHxS","PFNA",0.461273255482596
"PFDA","PFNA",0.745714580463901
"Me-PFOSA-AcOH","PFNA",0.306130709715641
"PFNA","PFOS",0.711331846750273
"PFOS","PFOS",1
"PFOA","PFOS",0.733037652962781
"PFHxS","PFOS",0.654446813131998
"PFDA","PFOS",0.636248720457579
"Me-PFOSA-AcOH","PFOS",0.475717552904727
"PFNA","PFOA",0.727391562688274
"PFOS","PFOA",0.733037652962781
"PFOA","PFOA",1
"PFHxS","PFOA",0.608656923711853
"PFDA","PFOA",0.545938102718558
"Me-PFOSA-AcOH","PFOA",0.411861866117006
"PFNA","PFHxS",0.461273255482596
"PFOS","PFHxS",0.654446813131998
"PFOA","PFHxS",0.608656923711853
"PFHxS","PFHxS",1
"PFDA","PFHxS",0.313394139252541
"Me-PFOSA-AcOH","PFHxS",0.259010929290153
"PFNA","PFDA",0.745714580463901
"PFOS","PFDA",0.636248720457579
"PFOA","PFDA",0.545938102718558
"PFHxS","PFDA",0.313394139252541
"PFDA","PFDA",1
"Me-PFOSA-AcOH","PFDA",0.259212657781428
"PFNA","Me-PFOSA-AcOH",0.306130709715641
"PFOS","Me-PFOSA-AcOH",0.475717552904727
"PFOA","Me-PFOSA-AcOH",0.411861866117006
"PFHxS","Me-PFOSA-AcOH",0.259010929290153
"PFDA","Me-PFOSA-AcOH",0.259212657781428
"Me-PFOSA-AcOH","Me-PFOSA-AcOH",1
