"variable","T1","T2","T3"
"n (unweighted)","2999","2854","2737"
"Age, years (mean)","45.6","50.1","52.0"
"Female, %","57.2","47.1","45.6"
"Race: Non-Hispanic White, %","65.8","71.0","72.3"
"Race: Non-Hispanic Black, %","9.8","9.5","11.6"
"Race: Mexican American, %","10.5","8.4","6.1"
"Race: other, %","13.9","11.1","10.0"
"College or above, %","58.5","61.5","58.7"
"Poverty-income ratio (mean)","2.8","3.1","3.3"
"Ever smoker, %","43.9","44.7","46.2"
"Body-mass index, kg/m^2 (mean)","29.7","29.4","28.9"
"Diabetes, %","14.0","14.6","14.6"
"Hypertension, %","29.7","33.9","35.1"
"ALT, U/L (mean)","23.4","24.5","26.1"
"AST, U/L (mean)","23.3","24.4","25.8"
"FIB-4 >= 2.67, %","2.4","2.3","3.2"
