"pfas","outcome","model","hr","ci_low","ci_high","p"
"LBXPFNA_z","mort_allcause","M2",0.856104236124373,0.781378186626091,0.937976610627876,0.000855798632545294
"LBXPFNA_z","mort_cm","M2",0.848027920726301,0.721796444179743,0.996335407482678,0.0450007852483447
"LBXMPAH_z","mort_allcause","M2",1.00501269066835,0.931971741964332,1.08377804060405,0.896656108632484
"LBXMPAH_z","mort_cm","M2",1.02532625899598,0.897525414344719,1.17132497930907,0.712697363429637
"LBXPFDE_z","mort_allcause","M2",0.860238521389972,0.791833591421809,0.934552817283805,0.000369268232878601
"LBXPFDE_z","mort_cm","M2",0.854427991337749,0.735805772032752,0.992173777550857,0.0391096193887985
"LBXPFOS_z","mort_allcause","M2",0.835344414047791,0.757056870624418,0.921727702577092,0.000339166773491789
"LBXPFOS_z","mort_cm","M2",0.800965175536197,0.675091049910419,0.95030916571455,0.0109498113885124
"LBXPFOA_z","mort_allcause","M2",0.856051084235655,0.777025686162474,0.943113557082345,0.00165973750337447
"LBXPFOA_z","mort_cm","M2",0.770300054279394,0.652304067059946,0.909640463069975,0.00209514798348009
"LBXPFHS_z","mort_allcause","M2",0.905383015574032,0.834266345856693,0.982561994692682,0.0172428391302204
"LBXPFHS_z","mort_cm","M2",0.855027348734682,0.740024804122789,0.987901706823,0.0335732975486275
