"family","pfas","est","p","p_bh"
"continuous_logFIB4_M2","LBXPFNA_z",0.0098,0.12,0.36
"continuous_logFIB4_M2","LBXMPAH_z",-0.0234,1.21e-05,7.26e-05
"continuous_logFIB4_M2","LBXPFDE_z",-0.0035,0.529,0.6348
"continuous_logFIB4_M2","LBXPFOS_z",-0.0075,0.232,0.447
"continuous_logFIB4_M2","LBXPFOA_z",0.0067,0.298,0.447
"continuous_logFIB4_M2","LBXPFHS_z",-5e-04,0.917,0.917
"advanced_FIB4_2.67_M2","LBXPFNA_z",1.03,0.768,0.768
"advanced_FIB4_2.67_M2","LBXMPAH_z",0.8563,0.0386,0.107
"advanced_FIB4_2.67_M2","LBXPFDE_z",0.9397,0.48,0.576
"advanced_FIB4_2.67_M2","LBXPFOS_z",0.8116,0.0535,0.107
"advanced_FIB4_2.67_M2","LBXPFOA_z",0.9161,0.369,0.5535
"advanced_FIB4_2.67_M2","LBXPFHS_z",0.7822,0.00422,0.02532
"allcause_mortality_M2","LBXPFNA_z",0.856104236124373,0.000855798632545294,0.00171159726509059
"allcause_mortality_M2","LBXMPAH_z",1.00501269066835,0.896656108632484,0.896656108632484
"allcause_mortality_M2","LBXPFDE_z",0.860238521389972,0.000369268232878601,0.0011078046986358
"allcause_mortality_M2","LBXPFOS_z",0.835344414047791,0.000339166773491789,0.0011078046986358
"allcause_mortality_M2","LBXPFOA_z",0.856051084235655,0.00165973750337447,0.00248960625506171
"allcause_mortality_M2","LBXPFHS_z",0.905383015574032,0.0172428391302204,0.0206914069562645
"cardiometabolic_FineGray_M2","LBXPFNA_z",0.931325248173241,0.31,0.465
"cardiometabolic_FineGray_M2","LBXMPAH_z",1.030567751855,0.59,0.62
"cardiometabolic_FineGray_M2","LBXPFDE_z",0.968534414327271,0.62,0.62
"cardiometabolic_FineGray_M2","LBXPFOS_z",0.908406770321145,0.25,0.465
"cardiometabolic_FineGray_M2","LBXPFOA_z",0.890896375115227,0.13,0.39
"cardiometabolic_FineGray_M2","LBXPFHS_z",0.84987594622073,0.013,0.078
