"exposure","exclude_early_yr","HR","lo","hi","p"
"PFNA",0,0.856,0.782,0.938,0.000884
"PFNA",1,0.874,0.794,0.962,0.00572
"PFNA",2,0.884,0.799,0.977,0.0156
"PFNA",5,0.899,0.793,1.019,0.0966
"Me-PFOSA-AcOH",0,1.005,0.932,1.084,0.898
"Me-PFOSA-AcOH",1,1.01,0.934,1.093,0.796
"Me-PFOSA-AcOH",2,1.014,0.934,1.101,0.742
"Me-PFOSA-AcOH",5,1.035,0.934,1.147,0.508
"PFDA",0,0.86,0.792,0.935,0.000372
"PFDA",1,0.882,0.81,0.962,0.00434
"PFDA",2,0.893,0.816,0.977,0.0134
"PFDA",5,0.881,0.788,0.985,0.0259
"PFOS",0,0.836,0.757,0.922,0.000346
"PFOS",1,0.848,0.765,0.941,0.00183
"PFOS",2,0.859,0.771,0.957,0.00601
"PFOS",5,0.836,0.733,0.954,0.00769
"PFOA",0,0.856,0.777,0.944,0.00173
"PFOA",1,0.875,0.79,0.968,0.00975
"PFOA",2,0.891,0.801,0.991,0.0336
"PFOA",5,0.908,0.797,1.035,0.147
"PFHxS",0,0.905,0.834,0.983,0.0174
"PFHxS",1,0.915,0.841,0.997,0.0425
"PFHxS",2,0.92,0.841,1.005,0.0652
"PFHxS",5,0.936,0.839,1.045,0.241
