"pfas","b","se","p","n","measure","model","pct","lo","hi","mdes_pct"
"PFNA",0.0993773512868802,0.00903777537132796,8.61051395861186e-20,8590,"FIB-4","Unadjusted",10.4482999013915,8.50904109214932,12.4222168800485,2.56433742597639
"PFNA",0.00980536019035443,0.00626368311053948,0.120490955715247,8588,"FIB-4","Fully adjusted",0.985359024337429,-0.246840716667018,2.23277949832559,1.77031170139748
"PFNA",0.0366594089678025,0.00766948362973602,5.73227110422228e-06,8588,"APRI","Fully adjusted",3.73396520816165,2.18627845282082,5.30509282394795,2.17192136091924
"PFNA",0.000597466651080996,0.0120502810214781,0.961345004677333,1929,"Liver stiffness","Fully adjusted",0.059764516983174,-2.2758120759298,2.45116063766344,3.43362215950236
"PFOA",0.0922283104606212,0.00863479759444256,2.26626071810173e-18,7456,"FIB-4","Unadjusted",9.66151622149034,7.8211993036337,11.5332440898838,2.44861002982886
"PFOA",0.00670911390771868,0.00641123600247633,0.298150205126806,7454,"FIB-4","Fully adjusted",0.673167042897305,-0.583979040394611,1.94621012407226,1.81239041317671
"PFOA",0.0371376786248857,0.00807652642241459,1.3862922376017e-05,7454,"APRI","Fully adjusted",3.7835898821716,2.15363165655353,5.43955563952572,2.28850111039067
"PFOA",-0.0194737589786522,0.012647343677302,0.151878157977519,1929,"Liver stiffness","Fully adjusted",-1.92853701954498,-4.32972602829491,0.532918448329411,3.60678262988767
"PFHxS",0.10064082197756,0.00816934855720894,6.3101653077044e-23,8590,"FIB-4","Unadjusted",10.587936285816,8.83131174520582,12.3729141534898,2.3151046041253
"PFHxS",-0.000514510748491464,0.00490746381490229,0.916700804596238,8588,"FIB-4","Fully adjusted",-0.05143784105337,-1.00819725386038,0.914568686652051,1.3843625792928
"PFHxS",0.0241071955216889,0.00701066745387447,0.000839476560778692,8588,"APRI","Fully adjusted",2.44001231108175,1.04202034106189,3.85734654624679,1.98351354370589
"PFHxS",-0.0350722341631499,0.0124461889426799,0.0167301186836769,1929,"Liver stiffness","Fully adjusted",-3.4464330922515,-5.77331502106251,-1.06208995155728,3.54841125594416
"PFOS",0.13397771406719,0.00926534106480117,1.53044300969115e-26,7456,"FIB-4","Unadjusted",14.3367338353031,12.2791107542963,16.4320648453722,2.62974762271211
"PFOS",-0.00746285992924441,0.00619598342658337,0.231566921795081,7454,"FIB-4","Fully adjusted",-0.743508193413112,-1.94160205984749,0.469224183775485,1.75101111970015
"PFOS",0.0202763221535166,0.00880146993596682,0.0235399991415721,7454,"APRI","Fully adjusted",2.04832832098323,0.303002234483452,3.82402401836561,2.49645924784678
"PFOS",-0.0292246894629888,0.0150609467280487,0.0783843621202363,1929,"Liver stiffness","Fully adjusted",-2.88017780578187,-5.70520037913275,0.0294809571789623,4.3097368287367
"PFDA",0.0528886029457914,0.00880617637308562,2.16199234500956e-08,8590,"FIB-4","Unadjusted",5.43121913051454,3.62707975256613,7.26676843435139,2.497810722248
"PFDA",-0.00346787489575577,0.00549614990620044,0.529434862852331,8588,"FIB-4","Fully adjusted",-0.346186876245502,-1.41394148145916,0.733132243404455,1.55170913088467
"PFDA",0.0112920397727609,0.00698966458576534,0.109196053962279,8588,"APRI","Fully adjusted",1.13560355078308,-0.240480662377152,2.53066948893841,1.97751287520327
"PFDA",-0.0106845288399458,0.0112519670791856,0.362727374048923,1929,"Liver stiffness","Fully adjusted",-1.06276520092919,-3.22082840346865,1.14342030633063,3.20254675813068
"Me-PFOSA-AcOH",0.0573324637859304,0.00775538373325912,2.26723367608663e-11,8590,"FIB-4","Unadjusted",5.90078336284672,4.30320577757175,7.52283051376876,2.19651265276035
"Me-PFOSA-AcOH",-0.0233864489228303,0.00509014657098776,1.21180208631646e-05,8588,"FIB-4","Fully adjusted",-2.31151052967558,-3.28127249028348,-1.33202513406747,1.43626450938334
"Me-PFOSA-AcOH",-0.0118308215748042,0.00649963595772965,0.0715728460221491,8588,"APRI","Fully adjusted",-1.17611125809416,-2.42707199586297,0.0908877681574216,1.83760839320644
"Me-PFOSA-AcOH",-0.00161464684193287,0.0170523961138744,0.926265963408329,1929,"Liver stiffness","Fully adjusted",-0.161334400102442,-3.44306418896084,3.23193321166446,4.89332977547707
