"pfas","outcome","model","est","lo","hi","p","pct_per_SD"
"LBXPFNA_z","logFIB4","Crude",0.0994,0.0817,0.1171,8.61e-20,10.4
"LBXPFNA_z","logFIB4","M1",0.0135,6e-04,0.0265,0.0431,1.4
"LBXPFNA_z","logFIB4","M2",0.0098,-0.0025,0.0221,0.12,1
"LBXMPAH_z","logFIB4","Crude",0.0573,0.0421,0.0725,2.27e-11,5.9
"LBXMPAH_z","logFIB4","M1",-0.0201,-0.03,-0.0102,0.000125,-2
"LBXMPAH_z","logFIB4","M2",-0.0234,-0.0334,-0.0134,1.21e-05,-2.3
"LBXPFDE_z","logFIB4","Crude",0.0529,0.0356,0.0701,2.16e-08,5.4
"LBXPFDE_z","logFIB4","M1",0.0052,-0.006,0.0164,0.364,0.5
"LBXPFDE_z","logFIB4","M2",-0.0035,-0.0142,0.0073,0.529,-0.3
"LBXPFOS_z","logFIB4","Crude",0.134,0.1158,0.1521,1.53e-26,14.3
"LBXPFOS_z","logFIB4","M1",-0.0021,-0.0146,0.0104,0.738,-0.2
"LBXPFOS_z","logFIB4","M2",-0.0075,-0.0196,0.0047,0.232,-0.7
"LBXPFOA_z","logFIB4","Crude",0.0922,0.0753,0.1092,2.27e-18,9.7
"LBXPFOA_z","logFIB4","M1",0.0113,-0.0021,0.0247,0.102,1.1
"LBXPFOA_z","logFIB4","M2",0.0067,-0.0059,0.0193,0.298,0.7
"LBXPFHS_z","logFIB4","Crude",0.1006,0.0846,0.1167,6.31e-23,10.6
"LBXPFHS_z","logFIB4","M1",0.0033,-0.0071,0.0138,0.532,0.3
"LBXPFHS_z","logFIB4","M2",-5e-04,-0.0101,0.0091,0.917,-0.1
"LBXPFNA_z","FIB4>=2.67","M2",1.03,0.8466,1.2531,0.768,3
"LBXMPAH_z","FIB4>=2.67","M2",0.8563,0.7405,0.9901,0.0386,-14.4
"LBXPFDE_z","FIB4>=2.67","M2",0.9397,0.7913,1.116,0.48,-6
"LBXPFOS_z","FIB4>=2.67","M2",0.8116,0.6584,1.0004,0.0535,-18.8
"LBXPFOA_z","FIB4>=2.67","M2",0.9161,0.7574,1.108,0.369,-8.4
"LBXPFHS_z","FIB4>=2.67","M2",0.7822,0.6635,0.9221,0.00422,-21.8
